ID,Formula,Compound Name,A,B,C,TMIN (K),TMAX (K)
999,H20,water,8.07131,1730.63,-39.724,274.15,373.15
998,H20,water,8.14019,1810.94,-28.665,372.15,647.15
1,CCL4,carbon-tetrachloride,6.8941,1219.58,-45.98,253.15,374.15
2,CCL3F,trichlorofluoromethane,6.8843,1043.01,-36.29,240.15,300.15
3,CCL2F2,dichlorodifluoromethane,6.68619,782.072,-37.773,154.15,243.15
4,CCLF3,chlorotrifluoromethane,6.35109,522.061,-41.473,123.15,192.15
5,CF4,carbon-tetrafluoride,6.9723,540.5,-13.05,93.15,148.15
6,CO,carbon-monoxide,6.2402,230.27,-13.14,63.15,108.15
7,CO2,carbon-dioxide,9.8106,1347.79,-0.15,154.15,204.15
8,COS,carbonyl-sulfide,6.90723,804.48,-23.15,162.15,224.15
9,CS2,carbon-disulfide,6.9419,1168.62,-31.61,228.15,342.15
10,CHCL3,chloroform,6.9371,1171.2,-46.15,260.15,370.15
11,CHCL2F,dichlorofluoromethane,6.97575,996.267,-38.978,182.15,282.15
12,CHCLF2,chlorodifluoromethane,6.7577,740.39,-41.29,225.15,240.15
13,CHF3,trifluoromethane,7.0886,705.33,-23.37,145.15,191.15
14,CHI3,triiodomethane,6.59598,1567.8,-69.15,410.15,527.15
16,CH2CL2,dichloromethane,7.0803,1138.91,-41.69,229.15,332.15
17,CH2CLF,chlorofluoromethane,6.20452,740.39,-41.29,218.15,285.15
18,CH2F2,difluoromethane,7.1389,821.7,-28.45,191.15,241.15
19,CH2I2,diiodomethane,6.94246,1567.8,-69.15,356.15,505.15
20,CH2O,formaldehyde,7.1561,957.24,-30.14,185.15,271.15
21,CH2O2,formic-acid,7.3779,1563.28,-26.08,271.15,409.15
22,CH3BR,bromomethane,6.9597,986.59,-34.82,215.15,326.15
23,CH3CL,chloromethane,6.9944,902.45,-29.54,180.15,266.15
24,CH3F,fluoromethane,7.0976,740.22,-19.26,141.15,209.15
25,CH3I,iodomethane,6.988,1146.34,-36.49,260.15,325.15
26,CH3NO2,nitromethane,7.044,1291.0,-64.14,278.15,409.15
29,CH4,c1,6.69561,405.42,-5.373,92.15,121.15
30,CH4O,methanol,8.0724,1574.99,-34.28,257.15,364.15
31,CH4S,methanethiol,7.03163,1015.547,-34.444,203.15,298.15
32,CH5N,methylamine,7.4969,1079.15,-32.91,212.15,311.15
33,C2CL4,tetrachloroethene,7.02,1415.49,-52.14,307.15,460.15
34,C2CL6,hexachloroethane,7.08633,1626.945,-76.102,306.15,459.15
35,C2CL3F3,112trichlorotrifluoroethane,6.8803,1099.9,-45.65,248.15,356.15
36,C2CL2F4,12dichlorotetrafluoroethane,6.87084,942.336,-40.518,178.15,277.15
37,C2CLF5,chloropentafluoroethane,6.8333,802.97,-30.87,175.15,230.15
38,C2F4,tetrafluoroethene,6.8966,683.84,-27.21,140.15,210.15
39,C2F6,hexafluoroethane,6.7933,657.06,-26.93,170.15,200.15
40,C2N2,cyanogen,6.43629,576.579,-90.842,196.15,269.15
41,C2HCL3,trichloroethene,7.0281,1315.1,-43.14,260.15,400.15
42,C2HCL5,pentachloroethane,6.74,1378.0,-76.15,298.15,435.15
43,C2HF3,trifluoroethene,5.68715,491.359,-45.92,180.15,242.15
44,C2H2,acetylene(ethyne),9.1402,1232.6,7.75,144.15,190.15
45,C2H2CL2,"1,1-dichloroethene",6.9722,1099.4,-35.95,245.15,305.15
46,C2H2CL2,"cis-1,2-dichloroethene",7.0223,1205.4,-42.55,273.15,357.15
47,C2H2CL2,"trans-1,2-dichloroethene",6.9651,1141.9,-41.25,235.15,358.15
48,C2H2CL4,"1,1,2,2-tetrachloroethane",6.6317,1228.1,-93.25,298.15,403.15
49,C2H2F2,"1,1-difluoroethene",6.34918,491.359,-45.911,133.15,187.15
50,C2H2F2,"cis-1,2-difluoroethene",5.31401,491.359,-45.92,195.15,275.75
51,C2H2F2,"trans-1,2-difluoroethene",5.31401,491.359,-45.92,195.15,275.75
52,C2H2O,ketene,6.9573,803.1,-35.14,170.15,255.15
53,C2H3BR,bromoethylene,7.24379,1219.308,-9.129,185.15,289.15
54,C2H3CL,chloroethene,6.4971,783.4,-43.14,185.15,290.15
55,C2H3CL3,"1,1,2-trichloroethane",6.9653,1351.0,-56.15,302.15,428.15
56,C2H3CLO,acetyl-chloride,6.8407,1062.86,-55.52,237.15,355.15
57,C2H3F,fluoroethene,6.33949,593.551,-30.039,124.15,201.15
58,C2H3F3,"1,1,1-trifluoroethane",6.9038,788.21,-29.91,270.15,300.15
59,C2H3N,acetonitrile,7.0735,1279.2,-49.14,260.15,390.15
60,C2H4,ethylene,6.74756,585.0,-18.15,120.15,182.15
61,C2H4BR2,"1,2-dibromoethane",6.72148,1280.82,-71.4,325.15,404.15
62,C2H4CL2,"1,1-dichloroethane",6.9853,1171.42,-45.02,242.15,352.15
63,C2H4CL2,"1,2-dichloroethane",7.0253,1271.25,-50.21,240.15,373.15
64,C2H4F2,"1,1-difluoroethane",7.03,910.0,-29.15,238.15,273.15
65,C2H4I2,"1,2-diiodoethane",6.98834,1647.1,-72.15,371.15,526.15
66,C2H4O,ethylene-oxide,7.2701,1115.1,-29.0,200.15,310.15
67,C2H4O,acetaldehyde,7.0565,1070.6,-37.14,210.15,320.15
68,C2H4O2,acetic-acid,7.2996,1479.02,-56.33,290.15,430.15
69,C2H4O2,methyl-formate,7.1704,1125.2,-42.59,225.15,324.15
70,C2H4OS,thioacetic-acid,7.74889,1479.02,-56.33,313.15,379.15
71,C2H4S,thiacyclopropane,7.03725,1194.37,-40.73,238.15,350.15
72,C2H5BR,bromoethane,6.92,1090.81,-41.43,226.15,333.15
73,C2H5CL,chloroethane,6.94,1012.78,-36.47,200.15,310.15
74,C2H5F,fluoroethane,6.9785,854.21,-26.99,170.15,252.15
75,C2H5I,iodoethane,6.959,1232.0,-44.15,303.15,333.15
76,C2H5N,ethylenimine,7.1323,1133.7,-63.14,248.15,359.15
77,C2H5NO2,nitroethane,7.58777,1671.266,-31.963,252.15,387.15
78,C2H5NO3,ethyl-nitrate,7.1637,1338.8,-48.25,273.15,333.15
79,C2H6,c2,6.83452,663.7,-16.68,130.15,198.15
80,C2H6O,methyl-ether,7.3164,1025.56,-17.09,179.15,265.15
81,C2H6O,ethyl-alcohol,8.2133,1652.05,-41.67,270.15,369.15
82,C2H6O2,ethylene-glycol,8.7945,2615.4,-28.24,364.15,494.15
83,C2H6S,methyl-sulfide,6.94879,1090.755,-42.351,226.15,331.15
84,C2H6S,ethanethiol,6.95206,1084.531,-41.765,224.15,329.15
85,C2H6S2,methyl-disulfide,6.97792,1346.342,-54.287,279.15,408.15
86,C2H7N,ethylamine,7.3862,1137.3,-37.29,215.15,316.15
87,C2H7N,dimethylamine,7.0639,1024.4,-35.14,218.15,310.15
88,C3H3N,acrylonitrile,6.9163,1208.3,-51.14,255.15,385.15
89,C3H4,allene(propadiene),5.7137,458.06,-77.08,174.15,257.15
90,C3H4,propyne(methylacetylene),6.78485,803.73,-44.07,183.15,267.15
91,C3H4O2,acrylic-acid,7.1926,1441.5,-80.14,315.15,450.15
92,C3H5BR,3-bromo-1-propene,7.05187,1259.83,-41.11,290.15,366.15
93,C3H5CL,3-chloro-1-propene,6.9388,1099.6,-47.14,230.15,350.15
94,C3H5CL3,"1,2,3-trichloropropane",7.0028,1484.1,-69.14,315.15,470.15
95,C3H5I,3-iodo-1-propene,6.9693,1316.5,-53.15,293.15,415.15
96,C3H5N,propionitrile,6.9301,1277.2,-55.14,270.15,405.15
97,C3H6,propene,6.8196,785.0,-26.15,161.15,241.15
98,C3H6,cyclopropane,6.8879,856.01,-26.64,180.15,245.15
99,C3H6BR2,"1,2-dibromopropane",6.89105,1419.6,-61.15,323.15,523.15
100,C3H6CL2,"1,2-dichloropropane",6.9654,1296.4,-52.15,288.15,408.15
101,C3H6CL2,"1,3-dichloropropane",6.97186,1376.2,-57.15,307.15,435.15
102,C3H6CL2,"2,2-dichloropropane",6.9482,1201.1,-47.15,267.15,378.15
103,C3H6I2,"1,2-diiodopropane",6.0765,1507.41,-28.45,398.15,548.15
104,C3H6O,propylene-oxide,6.6546,915.31,-64.86,225.15,340.15
105,C3H6O,allyl-alcohol,7.3424,1271.7,-85.14,286.15,400.15
106,C3H6O,propionaldehyde,7.0493,1154.8,-44.14,235.15,350.15
107,C3H6O,acetone,7.2316,1277.03,-35.92,241.15,350.15
108,C3H6S,thiacyclobutane,7.01667,1321.331,-48.637,268.15,393.15
109,C3H7BR,1-bromopropane,7.03766,1259.836,-41.108,220.15,344.15
110,C3H7BR,2-bromopropane,7.00463,1223.475,-36.642,211.15,333.15
111,C3H7CL,1-chloropropane,6.9311,1121.12,-42.94,230.15,350.15
112,C3H7CL,2-chloropropane,6.9654,1081.6,-43.14,225.15,340.15
113,C3H7F,1-fluoropropane,6.9533,965.18,-33.65,203.15,303.15
114,C3H7F,2-fluoropropane,7.07451,965.18,-33.65,224.15,281.15
115,C3H7I,1-iodopropane,7.22121,1507.41,-28.449,237.15,376.15
116,C3H7I,2-iodopropane,7.0167,1340.448,-38.785,230.15,363.15
117,C3H7NO2,1-nitropropane,7.1146,1467.45,-57.92,332.15,404.15
118,C3H7NO2,2-nitropropane,7.48654,1664.036,-32.155,254.15,393.15
119,C3H7NO3,propyl-nitrate,7.73719,1721.723,-27.66,273.15,343.15
120,C3H7NO3,isopropyl-nitrate,6.42006,1018.568,-89.622,273.15,343.15
121,C3H8,c3,6.80398,803.81,-26.16,165.15,248.15
122,C3H8O,ethyl-methyl-ether,5.8819,504.49,-112.39,205.15,310.15
123,C3H8O,propyl-alcohol,7.6192,1375.14,-80.14,285.15,400.15
124,C3H8O,isopropyl-alcohol,8.1182,1580.92,-53.53,273.15,374.15
125,C3H8S,ethyl-methyl-sulfide,6.93849,1182.562,-48.366,247.15,363.15
126,C3H8S,1-propanethiol,6.92846,1183.307,-48.526,248.15,364.15
127,C3H8S,2-propanethiol,6.87734,1113.895,-46.993,236.15,348.15
128,C3H9N,propylamine,6.9468,1108.2,-49.14,235.15,350.15
129,C3H9N,trimethylamine,6.9704,968.7,-39.14,215.15,305.15
130,C4F8,octafluorocyclobutane,6.8153,862.49,-48.0,241.15,274.15
131,C4H2,butadiyne(biacetylene),5.51917,460.684,-108.556,195.15,273.15
132,C4H4,1buten3yne(vinylacetylene),6.953,957.0,-43.14,200.15,305.15
133,C4H4O,furan,6.9753,1060.85,-45.4,238.15,363.15
134,C4H4S,thiophene,6.95926,1246.02,-51.8,261.15,381.15
135,C4H6,"1,2-butadiene",6.99383,1041.117,-30.876,247.15,303.15
136,C4H6,"1,3-butadiene",6.84999,930.546,-34.296,215.15,287.15
137,C4H6,1-butyne(ethylacetylene),6.98198,988.75,-40.14,205.15,300.15
138,C4H6,2-butyne(dimethylacetylene),7.07338,1101.71,-37.34,243.15,320.15
139,C4H6,cyclobutene,6.95769,1009.32,-28.164,196.15,275.15
140,C4H6O3,acetic-anhydride,7.1216,1427.77,-75.1,308.15,437.15
141,C4H7N,butyronitrile,7.0396,1390.7,-56.15,307.15,433.15
142,C4H7N,isobutyronitrile,7.21591,1390.7,-56.15,322.15,400.15
143,C4H8,1-butene,6.8429,926.1,-33.15,192.15,286.15
144,C4H8,"2-butene,cis",6.86926,960.1,-36.15,200.15,296.15
145,C4H8,"2-butene,trans",6.86952,960.8,-33.15,197.15,293.15
146,C4H8,2-methylpropene,6.84134,923.2,-33.15,191.15,285.15
147,C4H8,cyclobutane,6.9163,1024.54,-31.77,200.15,290.15
148,C4H8BR2,"1,2-dibromobutane",7.25696,1759.076,-38.141,281.15,439.15
