Compound Name, aT1, aT2, aT3, aP1, aP2, aP3, aw
n2, -292859, -0.0414778, 26.2743, 0.863344, 53.9314, -326.847, 0
co2, -292859, -0.0141359, 16.2443, -0.564467, 48.8615, -1331.41, 0
h2s, -292860, -0.0143991, 10.9477, -0.132753, 59.900, 57.1915, 0
c1, -292865, -0.00517572, 5.92040, 0.00998217, 35.2435, 54.8676, 0
c2, -687248, 0, -1.78470, 0.426990, 40.1669, 541.117, 0
c3, -970689, 0, -3.56546, 0.622591, 5.09279, 688.0477, 0
ic4, -1166846, 0, -2.95603, 0.560224, 2.02686, 444.792, 0
nc4, -1280557, 0, -4.035319, 0.671446, -2.93233, 674.646, 0
ic5, -1481582, 0, -6.38713, 0.968672, -3.39020, 747.110, 0
nc5, -1524891, 0, -3.54244, 0.587370, -8.57084, 397.476, 0
c6, -1778903, 0, -8.45991, 1.159219, -5.06920, 873.201, 0
c7, -1778901, 0.0143639, -6.00502, -1.10606, -1.03540, -376.926, 0.733643
